"SuccessRateMapCode","SuccessRateMapCodeDesc","SuccessRateMapCodeDesc2","EffectiveFrom","EffectiveTo"
"B0330163","GCE AS Level Agricultural/Horticultural Maintenance","GCE AS Lev Agric/ Hort Maint","24 Jul 2006",""
"B0330165","GCE AS Level Amenity Horticulture/Sportsgrounds","GCE AS Lev Amn Horticult/ Sprtgrnd","24 Jul 2006",""
"B0330166","GCE AS Level Animal Husbandry","GCE AS Lev Animal Husbandry","24 Jul 2006",""
"B0330167","GCE AS Level Crop Production","GCE AS Lev Crop Prod","24 Jul 2006",""
"B0330168","GCE AS Level Crop Protection/Fertilisers/Byproducts","GCE AS Lev Crop Prtct/ Frtlsrs/ Byprod","24 Jul 2006",""
"B0330169","GCE AS Level Ecology","GCE AS Lev Ecology","24 Jul 2006",""
"B0330170","GCE AS Level Energy Economics/Management/Conservation","GCE AS Lev Energy Econ/ Mngm/ Cnsv","24 Jul 2006",""
"B0330171","GCE AS Level Environmental Science","GCE AS Lev Enval Sci","24 Jul 2006",""
"B0330172","GCE AS Level Fish Production/Fisheries","GCE AS Lev Fish Prod/ Fisheries","24 Jul 2006",""
"B0330173","GCE AS Level Forestry/Timber Production","GCE AS Lev Frst/ Timber Prod","24 Jul 2006",""
"B0330174","GCE AS Level Gardening/Floristry/Plant Sales","GCE AS Lev Grdn/ Flrst/ Plant Sales","24 Jul 2006",""
"B0330175","GCE AS Level Pets/Domestic Animal Care","GCE AS Lev Pets/ Dom Animal Cr","24 Jul 2006",""
"B0330176","GCE AS Level Science (Environment)","GCE AS Lev Sci (Env)","24 Jul 2006",""
"B0330177","GCE AS Level Veterinary Services","GCE AS Lev Vet Svc","24 Jul 2006",""
"B0330361","GCE AS Level","GCE AS Lev","24 Jul 2006","30 Sep 2014"
"B0330394","Principal Learning in Environmental and Land Based Studies (Level 3) (14-19 Diploma)","Principal Lrn in Enval & Land Based Stud (Lev 3) (14-19 Dip)","24 Sep 2009",""
"B0330395","Advanced Diploma in Environmental and Land Based Studies (14-19 Diploma)","Adv Dip Enval & Land Based Stud (14-19 Dip)","01 Sep 2010",""
"B0330396","Progression Diploma in Environmental and Land Based Studies (14-19 Diploma)","Prg Dip Enval & Land Based Stud (14-19 Dip)","01 Sep 2010",""
"B0410568","Foundation Diploma in Engineering (14-19 Diploma)","Fnd Dip Engnr (14-19 Dip)","11 Sep 2009",""
"B0410569","Principal Learning in Engineering (Level 1) (14-19 Diploma)","Principal Lrn in Engnr (Lev 1) (14-19 Dip)","11 Sep 2009",""
"B0410570","Principal Learning in Manufacturing and Product Design (Level 1) (14-19 Diploma)","Principal Lrn in Manuf & Prod Des (Lev 1) (14-19 Dip)","24 Sep 2009",""
"B0410571","Foundation Diploma in Manufacturing and Product Design (14-19 Diploma)","Fnd Dip Manuf & Prod Des (14-19 Dip)","01 Sep 2010",""
"B0420334","GCSE Microelectronics and Computing","GCSE MicroElecs & Comp","24 Jul 2006",""
"B0420338","GCSE Electrical/Electronic Servicing","GCSE Elec/ Elec Svcg","24 Jul 2006",""
"B0420341","GCSE Electronic Engineering","GCSE Elec Engnr","24 Jul 2006",""
"B0420342","GCSE Electronics","GCSE Elecs","24 Jul 2006",""
"B0420343","GCSE Energy Economics/Management/Conservation","GCSE Energy Econ/ Mngm/ Cnsv","24 Jul 2006",""
"B0420345","GCSE Engineering Services","GCSE Engnr Svc","24 Jul 2006",""
"B0420346","GCSE Engineering Science","GCSE Engnr Sci","24 Jul 2006",""
"B0420347","GCSE Home Economics: Textiles","GCSE Home Econ Text","24 Jul 2006",""
"B0420350","GCSE Industrial Control/Monitoring","GCSE Ind Cont/ Mntr","24 Jul 2006",""
"B0420351","GCSE Manufacturing (Double Award)","GCSE Manuf (Double Award)","24 Jul 2006",""
"B0420352","GCSE Marine Navigation","GCSE Marine Navigation","24 Jul 2006",""
"B0420353","GCSE Mechanical Engineering","GCSE Mech Engnr","24 Jul 2006",""
"B0420354","GCSE Metallurgy/Metals Production","GCSE Metallurgy/ Metals Prod","24 Jul 2006",""
"B0420355","GCSE Metals Working/Finishing","GCSE Metals Wrk/ Finishing","24 Jul 2006",""
"B0420356","GCSE Mining/Quarrying/Extraction","GCSE Min/ Quarrying/ Extraction","24 Jul 2006",""
"B0420357","GCSE Motor Trade Operations","GCSE Motor Trade Ops","24 Jul 2006",""
"B0420358","GCSE Motor Vehicle and Road Use Studies","GCSE Motor Veh & Rd Use Stud","24 Jul 2006",""
"B0420359","GCSE Motor Vehicle Engineering","GCSE Motor Veh Engnr","24 Jul 2006",""
"B0420361","GCSE Nautical Studies","GCSE Nautical Stud","24 Jul 2006",""
"B0420363","GCSE Pollution/Pollution Control","GCSE Poll/ Poll Cont","24 Jul 2006",""
"B0420364","GCSE Polymer Science/Technology","GCSE Polymer Sci/ Tech","24 Jul 2006",""
"B0420366","GCSE Print And Publishing","GCSE Print & Pub","24 Jul 2006",""
"B0420367","GCSE Production/Operations Management","GCSE Prod/ Ops Mngm","24 Jul 2006",""
"B0420368","GCSE Quality And Reliability Management","GCSE Qlty & Rel Mngm","24 Jul 2006",""
"B0420370","GCSE Rail Vehicle Engineering","GCSE Rail Veh Engnr","24 Jul 2006",""
"B0420371","GCSE Road Traffic Studies","GCSE Rd Traffic Stud","24 Jul 2006",""
"B0420372","GCSE Motor Vehicle Studies","GCSE Motor Veh Stud","24 Jul 2006",""
"B0420373","GCSE Ship And Boat Building/Marine /Offshore Engineering","GCSE Ship & Boat Bldg/ Marine/ Offsh Engnr","24 Jul 2006",""
"B0420374","GCSE Structural Engineering","GCSE Struc Engnr","24 Jul 2006",""
"B0420375","GCSE Technology","GCSE Tech","24 Jul 2006",""
"B0420377","GCSE Traffic Education","GCSE Traffic Ed","24 Jul 2006",""
"B0420378","GCSE Vehicle Maintenance/Repair","GCSE Veh Maint/ Repair","24 Jul 2006",""
"B0420379","GCSE Welding","GCSE Welding","24 Jul 2006",""
"B0420383","GCSE Aerospace/Defence Engineering","GCSE Aerospace/ Defence Engnr","24 Jul 2006",""
"B0420385","GCSE Baking/Dairy/Food And Drink Processing","GCSE Baking/ Dairy/ Food Drink Prcss","24 Jul 2006",""
"B0420386","GCSE Chemicals/Materials Engineering","GCSE Chem/ Mat Engnr","24 Jul 2006",""
"B0420388","GCSE Driving/Road Safety","GCSE Drv/ Rd Sfty","24 Jul 2006",""
"B0420750","GCSE CDg: Manufacturing Technology","GCSE CDg Manuf Tech","24 Jul 2006",""
"B0420752","GCSE Technical and Vocational Studies","GCSE Tech & Voc Stud","24 Jul 2006",""
"B0420753","GCSE Workshop Crafts","GCSE Wrkshop Crft","24 Jul 2006",""
"B0420801","GCSE Practical Electronics","GCSE Practical Elecs","24 Jul 2006",""
"B0420807","GCSE Fashion/Textiles/Clothing (Craft)","GCSE Fash/ Text/ Cloth (Craft)","24 Jul 2006",""
"B0420810","GCSE Electronic Instrumentation","GCSE Elec Inst","24 Jul 2006",""
"B0420817","GCSE Music Instrument Technology","GCSE Mus Inst Tech","24 Jul 2006",""
"B0420819","GCSE Oil And Gas Operations","GCSE Oil & Gas Ops","24 Jul 2006",""
"B0420822","GCSE Power/Energy Engineering","GCSE Pwr/ Energy Engnr","24 Jul 2006",""
"B0420826","GCSE Rail Transport","GCSE Rail Trns","24 Jul 2006",""
"B0420833","GCSE Tools/Machining","GCSE Tools/ Machining","24 Jul 2006",""
"B0420837","GCSE","GCSE","24 Jul 2006","30 Sep 2014"
"B0420840","GCSE Aeronautics","GCSE Aeronautics","24 Jul 2006",""
"B0420841","GCSE Aviation","GCSE Aviation","24 Jul 2006",""
"B0420931","Higher Diploma in Engineering (14-19 Diploma)","Hi Dip Engnr (14-19 Dip)","11 Sep 2009",""
"B0420932","Principal Learning in Engineering (Level 2) (14-19 Diploma)","Principal Lrn in Engnr (Lev 2) (14-19 Dip)","11 Sep 2009",""
"B0420933","Principal Learning in Manufacturing and Product Design (Level 2) (14-19 Diploma)","Principal Lrn in Manuf & Prod Des (Lev 2) (14-19 Dip)","24 Sep 2009",""
"B0420934","Higher Diploma in Manufacturing and Product Design","Hi Dip Manuf & Prod Des","01 Sep 2010",""
"B0420935","GCSE Design and Technology","GCSE Design and Technology","01 Aug 2016",""
"B0430364","GCE A Level Aerospace/Defence Engineering","GCE A Lev Aerospace/ Defence Engnr","24 Jul 2006",""
"B0430365","GCE A Level Aviation","GCE A Lev Aviation","24 Jul 2006",""
"B0430366","GCE A Level Baking/Dairy/Food And Drink Processing","GCE A Lev Baking/ Dairy/ Food Drink Prcss","24 Jul 2006",""
"B0430367","GCE A Level Chemicals/Materials Engineering","GCE A Lev Chem/ Mat Engnr","24 Jul 2006",""
"B0430368","GCE A Level Design & Technology","GCE A Lev Des & Tech","24 Jul 2006",""
"B0430369","GCE A Level Driving/Road Safety","GCE A Lev Drv/ Rd Sfty","24 Jul 2006",""
"B0430370","GCE A Level Electrical Engineering","GCE A Lev Elec Engnr","24 Jul 2006",""
"B0430371","GCE A Level Electrical/Electronic Servicing","GCE A Lev Elec/ Elec Svcg","24 Jul 2006",""
"B0430372","GCE A Level Electronic Systems","GCE A Lev Elec Sys","24 Jul 2006",""
"B0430373","GCE A Level Energy Economics/Management/Conservation","GCE A Lev Energy Econ/ Mngm/ Cnsv","24 Jul 2006",""
"B0430374","GCE A Level Engineering","GCE A Lev Engnr","24 Jul 2006",""
"B0430375","GCE A Level Technology (UCLES)","GCE A Lev Tech (UCLES)","24 Jul 2006",""
"B0430376","GCE A Level Fashion/Textiles/Clothing (Craft)","GCE A Lev Fash/ Text/ Cloth (Craft)","24 Jul 2006",""
"B0430377","GCE A Level Glass/Ceramics/Stone Crafts","GCE A Lev Glass/ Ceramics/ Stone Crft","24 Jul 2006",""
"B0430378","GCE A Level Industrial Control/Monitoring","GCE A Lev Ind Cont/ Mntr","24 Jul 2006",""
"B0430380","GCE A Level Manufacturing /Production Work","GCE A Lev Manuf/ Prod Wrk","24 Jul 2006",""
"B0430381","GCE A Level Marine Transport","GCE A Lev Marine Trns","24 Jul 2006",""
"B0430382","GCE A Level Mechanical Engineering","GCE A Lev Mech Engnr","24 Jul 2006",""
"B0430383","GCE A Level Metallurgy/Metals Production","GCE A Lev Metallurgy/ Metals Prod","24 Jul 2006",""
"B0430384","GCE A Level Metals Working/Finishing","GCE A Lev Metals Wrk/ Finishing","24 Jul 2006",""
"B0430385","GCE A Level Mining/Quarrying/Extraction","GCE A Lev Min/ Quarrying/ Extraction","24 Jul 2006",""
"B0430386","GCE A Level Motor Trade Operations","GCE A Lev Motor Trade Ops","24 Jul 2006",""
"B0430387","GCE A Level Music Instrument Technology","GCE A Lev Mus Inst Tech","24 Jul 2006",""
"B0430388","GCE A Level Oil And Gas Operations","GCE A Lev Oil & Gas Ops","24 Jul 2006",""
"B0430389","GCE A Level Pollution/Pollution Control","GCE A Lev Poll/ Poll Cont","24 Jul 2006",""
"B0430390","GCE A Level Power/Energy Engineering","GCE A Lev Pwr/ Energy Engnr","24 Jul 2006",""
"B0430391","GCE A Level Print And Publishing","GCE A Lev Print & Pub","24 Jul 2006",""
"B0430392","GCE A Level Production/Operations Management","GCE A Lev Prod/ Ops Mngm","24 Jul 2006",""
"B0430393","GCE A Level Quality And Reliability Management","GCE A Lev Qlty & Rel Mngm","24 Jul 2006",""
"B0430394","GCE A Level Rail Transport","GCE A Lev Rail Trns","24 Jul 2006",""
"B0430395","GCE A Level Rail Vehicle Engineering","GCE A Lev Rail Veh Engnr","24 Jul 2006",""
"B0430396","GCE A Level Road Transport Operation","GCE A Lev Rd Trns Op","24 Jul 2006",""
"B0430397","GCE A Level Road Vehicle Engineering","GCE A Lev Rd Veh Engnr","24 Jul 2006",""
"B0430398","GCE A Level Ship And Boat Building/Marine /Offshore Engineering","GCE A Lev Ship & Boat Bldg/ Marine/ Offsh Engnr","24 Jul 2006",""
"B0430399","GCE A Level Structural Engineering","GCE A Lev Struc Engnr","24 Jul 2006",""
"B0430400","GCE A Level Tools/Machining","GCE A Lev Tools/ Machining","24 Jul 2006",""
"B0430401","GCE A Level Transport (General)","GCE A Lev Trns (Gen)","24 Jul 2006",""
"B0430402","GCE A Level Vehicle Maintenance/Repair","GCE A Lev Veh Maint/ Repair","24 Jul 2006",""
"B0430403","GCE A Level Welding/Joining","GCE A Lev Welding/ Joining","24 Jul 2006",""
"B0430404","GCE A Level","GCE A Lev","24 Jul 2006","30 Sep 2014"
"B0430405","GCE A2 Level Design & Technology","GCE A2 Lev Des & Tech","24 Jul 2006",""
"B0430406","GCE A2 Level Electronics","GCE A2 Lev Elecs","24 Jul 2006",""
"B0430407","GCE A2 Level","GCE A2 Lev","24 Jul 2006","30 Sep 2014"
"B0430408","GCE AS Level Aerospace/Defence Engineering","GCE AS Lev Aerospace/ Defence Engnr","24 Jul 2006",""
"B0430409","GCE AS Level Aviation","GCE AS Lev Aviation","24 Jul 2006",""
"B0430410","GCE AS Level Baking/Dairy/Food And Drink Processing","GCE AS Lev Baking/ Dairy/ Food Drink Prcss","24 Jul 2006",""
"B0430411","GCE AS Level Chemicals/Materials Engineering","GCE AS Lev Chem/ Mat Engnr","24 Jul 2006",""
"B0430412","GCE AS Level Design & Technology","GCE AS Lev Des & Tech","24 Jul 2006",""
"B0430413","GCE AS Level Driving/Road Safety","GCE AS Lev Drv/ Rd Sfty","24 Jul 2006",""
"B0430414","GCE AS Level Electrical Engineering","GCE AS Lev Elec Engnr","24 Jul 2006",""
"B0430415","GCE AS Level Electrical/Electronic Servicing","GCE AS Lev Elec/ Elec Svcg","24 Jul 2006",""
"B0430416","GCE AS Level Electronics","GCE AS Lev Elecs","24 Jul 2006",""
"B0430417","GCE AS Level Energy Economics/Management/Conservation","GCE AS Lev Energy Econ/ Mngm/ Cnsv","24 Jul 2006",""
"B0430418","GCE AS Level Engineering Services","GCE AS Lev Engnr Svc","24 Jul 2006",""
"B0430419","GCE AS Level Engineering/Technology (General)","GCE AS Lev Engnr/ Tech (Gen)","24 Jul 2006",""
"B0430420","GCE AS Level Fashion and Textiles","GCE AS Lev Fash & Text","24 Jul 2006",""
"B0430421","GCE AS Level Freight Handling","GCE AS Lev Freight Hnd","24 Jul 2006",""
"B0430422","GCE AS Level Glass/Ceramics/Stone Crafts","GCE AS Lev Glass/ Ceramics/ Stone Crft","24 Jul 2006",""
"B0430423","GCE AS Level Industrial Control/Monitoring","GCE AS Lev Ind Cont/ Mntr","24 Jul 2006",""
"B0430424","GCE AS Level Manufacturing /Production Work","GCE AS Lev Manuf/ Prod Wrk","24 Jul 2006",""
"B0430425","GCE AS Level Marine Transport","GCE AS Lev Marine Trns","24 Jul 2006",""
"B0430426","GCE AS Level Mechanical Engineering","GCE AS Lev Mech Engnr","24 Jul 2006",""
"B0430427","GCE AS Level Metallurgy/Metals Production","GCE AS Lev Metallurgy/ Metals Prod","24 Jul 2006",""
"B0430428","GCE AS Level Metals Working/Finishing","GCE AS Lev Metals Wrk/ Finishing","24 Jul 2006",""
"B0430429","GCE AS Level Mining/Quarrying/Extraction","GCE AS Lev Min/ Quarrying/ Extraction","24 Jul 2006",""
"B0430430","GCE AS Level Motor Trade Operations","GCE AS Lev Motor Trade Ops","24 Jul 2006",""
"B0430431","GCE AS Level Music Instrument Technology","GCE AS Lev Mus Inst Tech","24 Jul 2006",""
"B0430432","GCE AS Level Oil And Gas Operations","GCE AS Lev Oil & Gas Ops","24 Jul 2006",""
"B0430433","GCE AS Level Pollution/Pollution Control","GCE AS Lev Poll/ Poll Cont","24 Jul 2006",""
"B0430434","GCE AS Level Power/Energy Engineering","GCE AS Lev Pwr/ Energy Engnr","24 Jul 2006",""
"B0430435","GCE AS Level Print And Publishing","GCE AS Lev Print & Pub","24 Jul 2006",""
"B0430436","GCE AS Level Production/Operations Management","GCE AS Lev Prod/ Ops Mngm","24 Jul 2006",""
"B0430437","GCE AS Level Quality And Reliability Management","GCE AS Lev Qlty & Rel Mngm","24 Jul 2006",""
"B0430438","GCE AS Level Rail Transport","GCE AS Lev Rail Trns","24 Jul 2006",""
"B0430439","GCE AS Level Rail Vehicle Engineering","GCE AS Lev Rail Veh Engnr","24 Jul 2006",""
"B0430440","GCE AS Level Road Transport Operation","GCE AS Lev Rd Trns Op","24 Jul 2006",""
"B0430441","GCE AS Level Road Vehicle Engineering","GCE AS Lev Rd Veh Engnr","24 Jul 2006",""
"B0430442","GCE AS Level Ship And Boat Building/Marine /Offshore Engineering","GCE AS Lev Ship & Boat Bldg/ Marine/ Offsh Engnr","24 Jul 2006",""
"B0430443","GCE AS Level Structural Engineering","GCE AS Lev Struc Engnr","24 Jul 2006",""
"B0430444","GCE AS Level Tools/Machining","GCE AS Lev Tools/ Machining","24 Jul 2006",""
"B0430445","GCE AS Level Transport (General)","GCE AS Lev Trns (Gen)","24 Jul 2006",""
"B0430446","GCE AS Level Vehicle Maintenance/Repair","GCE AS Lev Veh Maint/ Repair","24 Jul 2006",""
"B0430447","GCE AS Level Welding/Joining","GCE AS Lev Welding/ Joining","24 Jul 2006",""
"B0430448","GCE AS Level","GCE AS Lev","24 Jul 2006","30 Sep 2014"
"B0430737","GCE A2 Level in Engineering","GCE A2 Lev in Engnr","24 Jul 2006",""
"B0430794","GCE A Level Applied Engineering Graphics","GCE A Lev Applied Engnr Grphs","24 Jul 2006",""
"B0430919","Advanced Diploma in Engineering (14-19 Diploma)","Adv Dip Engnr (14-19 Dip)","11 Sep 2009",""
"B0430920","Progression Diploma in Engineering (14-19 Diploma)","Prg Dip Engnr (14-19 Dip)","11 Sep 2009",""
"B0430921","Principal Learning in Engineering (Level 3) (14-19 Diploma)","Principal Lrn in Engnr (Lev 3) (14-19 Dip)","11 Sep 2009",""
"B0430922","Principal Learning in Manufacturing and Product Design (Level 3) (14-19 Diploma)","Principal Lrn in Manuf & Prod Des (Lev 3) (14-19 Dip)","24 Sep 2009",""
"B0430923","Advanced Diploma in Manufacturing and Product Design (14-19 Diploma)","Adv Dip Manuf & Prod Des (14-19 Dip)","01 Sep 2010",""
"B0430924","Progression Diploma in Manufacturing and Product Design (14-19 Diploma)","Prg Dip Manuf & Prod Des (14-19 Dip)","01 Sep 2010",""
"B0510208","Foundation Diploma in Construction and the Built Environment (14-19 Diploma)","Fnd Dip Const Built Env (14-19 Dip)","11 Sep 2009",""
"B0510209","Principal Learning in Construction and the Built Environment (Level 1) (14-19 Diploma)","Principal Lrn in Const Built Env (Lev 1) (14-19 Dip)","11 Sep 2009",""
"B0520155","GCSE Building Design/Architecture","GCSE Bldg Des/ Arch","24 Jul 2006",""
"B0520156","GCSE Building Studies","GCSE Bldg Stud","24 Jul 2006",""
"B0520157","GCSE Building/Construction Operations","GCSE Bldg/ Const Ops","24 Jul 2006",""
"B0520158","GCSE Built Environment (General)","GCSE Built Env (Gen)","24 Jul 2006",""
"B0520159","GCSE Civil Engineering","GCSE Civil Engnr","24 Jul 2006",""
"B0520160","GCSE Building Studies","GCSE Bldg Stud","24 Jul 2006",""
"B0520161","GCSE Construction (General)","GCSE Const (Gen)","24 Jul 2006",""
"B0520163","GCSE Land Surveying","GCSE Land Srvy","24 Jul 2006",""
"B0520165","GCSE Surveying","GCSE Srvy","24 Jul 2006",""
"B0520166","GCSE","GCSE","24 Jul 2006","30 Sep 2014"
"B0520325","GCSE Design and Craft (Architectural)","GCSE Des & Craft (Arch)","24 Jul 2006",""
"B0520326","GCSE Domestic Dwelling Construction","GCSE Dom Dwelling Const","24 Jul 2006",""
"B0520327","GCSE Electrical Installation Work","GCSE Elec Instal Wrk","24 Jul 2006",""
"B0520328","GCSE Geometrical and Building Drawing","GCSE Geometrical & Bldg Drawing","24 Jul 2006",""
"B0520329","GCSE Home Maintenance","GCSE Home Maint","24 Jul 2006",""
"B0520342","Higher Diploma in Construction and the Built Environment (14-19 Diploma)","Hi Dip Const Built Env (14-19 Dip)","01 Feb 2007",""
"B0520344","Principal Learning in Construction and the Built Environment (Level 2) (14-19 Diploma)","Principal Lrn in Const Built Env (Lev 2) (14-19 Dip)","01 Feb 2007",""
"B0530149","GCE A Level Building Design/Architecture","GCE A Lev Bldg Des/ Arch","24 Jul 2006",""
"B0530150","GCE A Level Building Services","GCE A Lev Bldg Svc","24 Jul 2006",""
"B0530151","GCE A Level Building/Construction Operations","GCE A Lev Bldg/ Const Ops","24 Jul 2006",""
"B0530152","GCE A Level Built Environment (General)","GCE A Lev Built Env (Gen)","24 Jul 2006",""
"B0530153","GCE A Level Civil Engineering","GCE A Lev Civil Engnr","24 Jul 2006",""
"B0530154","GCE A Level Construction (General)","GCE A Lev Const (Gen)","24 Jul 2006",""
"B0530155","GCE A Level Construction Management","GCE A Lev Const Mngm","24 Jul 2006",""
"B0530156","GCE A Level Construction Site Work","GCE A Lev Const Site Wrk","24 Jul 2006",""
"B0530157","GCE A Level Land And Sea Surveying/Cartography","GCE A Lev Land & Sea Srvy/ CartoGrphy","24 Jul 2006",""
"B0530158","GCE A Level Surveying","GCE A Lev Srvy","24 Jul 2006",""
"B0530159","GCE A2 Level","GCE A2 Lev","24 Jul 2006","30 Sep 2014"
"B0530160","GCE AS Level Building Design/Architecture","GCE AS Lev Bldg Des/ Arch","24 Jul 2006",""
"B0530161","GCE AS Level Building Services","GCE AS Lev Bldg Svc","24 Jul 2006",""
"B0530162","GCE AS Level Building/Construction Operations","GCE AS Lev Bldg/ Const Ops","24 Jul 2006",""
"B0530163","GCE AS Level Built Environment (General)","GCE AS Lev Built Env (Gen)","24 Jul 2006",""
"B0530164","GCE AS Level Civil Engineering","GCE AS Lev Civil Engnr","24 Jul 2006",""
"B0530165","GCE AS Level Construction (General)","GCE AS Lev Const (Gen)","24 Jul 2006",""
"B0530166","GCE AS Level Construction Management","GCE AS Lev Const Mngm","24 Jul 2006",""
"B0530167","GCE AS Level Construction Site Work","GCE AS Lev Const Site Wrk","24 Jul 2006",""
"B0530168","GCE AS Level Property:Surveying/Planning/Development","GCE AS Lev PropSrvy/ Plan/ Dev","24 Jul 2006",""
"B0530169","GCE AS Level Structural Engineering","GCE AS Lev Struc Engnr","24 Jul 2006",""
"B0530325","GCE A Level","GCE A Lev","24 Jul 2006","30 Sep 2014"
"B0530326","GCE AS Level","GCE AS Lev","24 Jul 2006","30 Sep 2014"
"B0530347","GCE A2 Level","GCE A2 Lev","24 Jul 2006","30 Sep 2014"
"B0530351","Advanced Diploma in Construction and the Built Environment (14-19 Diploma)","Adv Dip Const Built Env (14-19 Dip)","01 Feb 2007",""
"B0530352","Progression Diploma in Construction and the Built Environment (14-19 Diploma)","Prg Dip Const Built Env (14-19 Dip)","01 Feb 2007",""
"B0530353","Principal Learning in Construction and the Built Environment (Level 3) (14-19 Diploma)","Principal Lrn in Const Built Env (Lev 3) (14-19 Dip)","01 Feb 2007",""
"B0610190","Key Skills - Information Technology - level 1","KeySkl Info Tech Lev 1","24 Jul 2006",""
"B0610383","Foundation Diploma in Information Technology (14-19 Diploma)","Fnd Dip Info Tech (14-19 Dip)","11 Sep 2009",""
"B0610384","Principal Learning in IT (Level 1) (14-19 Diploma)","Principal Lrn in IT (Lev 1) (14-19 Dip)","11 Sep 2009",""
"B0620170","GCSE Information Technology in Business","GCSE Info Tech in Bus","24 Jul 2006",""
"B0620171","GCSE Computer Studies","GCSE Comp Stud","24 Jul 2006",""
"B0620172","GCSE Information and Communication Technology","GCSE Info & Comm Tech","24 Jul 2006",""
"B0620174","GCSE Information Studies","GCSE Info Stud","24 Jul 2006",""
"B0620270","Key Skills - Information Technology - level 2","KeySkl Info Tech Lev 2","24 Jul 2006",""
"B0620389","GCSE Business Technology (Birmingham)","GCSE Bus Tech (Birmingham)","24 Jul 2006",""
"B0620390","GCSE Communication  Technology","GCSE Comm Tech","24 Jul 2006",""
"B0620391","GCSE Media Studies and Information Technology (Nth)","GCSE Media Stud & Info Tech (Nth)","24 Jul 2006",""
"B0620392","GCSE Media Technology","GCSE Media Tech","24 Jul 2006",""
"B0620393","GCSE Robotics","GCSE Robotics","24 Jul 2006",""
"B0620394","GCSE Technical Communication","GCSE Tech Comm","24 Jul 2006",""
"B0620403","Higher Diploma in Information Technology (14-19 Diploma)","Hi Dip Info Tech (14-19 Dip)","11 Sep 2009",""
"B0620404","Principal Learning in IT (Level 2) (14-19 Diploma)","Principal Lrn in IT (Lev 2) (14-19 Dip)","11 Sep 2009",""
"B0620405","GCSE in Information and Communication Technology A","GCSE in Info & Comm Tech A","01 Aug 2010",""
"B0620406","GCSE in Computer Science","GCSE in Comp Sci","01 Jul 2012",""
"B0630178","GCE A Level Computing","GCE A Lev Comp","24 Jul 2006",""
"B0630180","GCE A Level Telecommunications","GCE A Lev TeleComms","24 Jul 2006",""
"B0630181","GCE A Level","GCE A Lev","24 Jul 2006","30 Sep 2014"
"B0630182","GCE A2 Level Computing","GCE A2 Lev Comp","24 Jul 2006",""
"B0630183","GCE A2 Level in Applied ICT","GCE A2 Lev in Applied ICT","24 Jul 2006",""
"B0630184","GCE A2 Level","GCE A2 Lev","24 Jul 2006","30 Sep 2014"
"B0630185","GCE AS Level Computing","GCE AS Lev Comp","24 Jul 2006",""
"B0630186","GCE AS Level in Applied ICT","GCE AS Lev in Applied ICT","24 Jul 2006",""
"B0630187","GCE AS Level Telecommunications","GCE AS Lev TeleComms","24 Jul 2006",""
"B0630188","GCE AS Level","GCE AS Lev","24 Jul 2006","30 Sep 2014"
"B0630220","Key Skills - Information Technology - level 3","KeySkl Info Tech Lev 3","24 Jul 2006",""
"B0630344","GCE A Level in Applied ICT","GCE A Lev in Applied ICT","24 Jul 2006",""
"B0630364","GCE A Level in Information and Communications Technology","GCE A Lev in Info & Comms Tech","11 Dec 2008",""
"B0630365","GCE AS Level in Information and Communication Technology","GCE AS Lev in Info & Comm Tech","11 Dec 2008",""
"B0630366","Advanced Diploma in Information Technology (14-19 Diploma)","Adv Dip Info Tech (14-19 Dip)","11 Sep 2009",""
"B0630367","Progression Diploma in Information Technology (14-19 Diploma)","Prg Dip Info Tech (14-19 Dip)","11 Sep 2009",""
"B0630368","GCE A2 Level in Applied ICT (Double Award)","GCE A2 Lev in Applied ICT (Double Award)","11 Sep 2009",""
"B0630369","Principal Learning in IT (Level 3) (14-19 Diploma)","Principal Lrn in IT (Lev 3) (14-19 Dip)","11 Sep 2009",""
"B0630370","GCE A Level in Computer Science","GCE A Level in Computer Science","01 Aug 2014",""
"B0640032","Key Skills - Information Technology - level 4","KeySkl Info Tech Lev 4","24 Jul 2006",""
"B0650007","Key Skills - Information Technology - level 5","KeySkl Info Tech Lev 5","24 Jul 2006",""
"B06H0154","Key Skills - Information Technology - level 5","KeySkl Info Tech Lev 5","24 Jul 2006",""
"B06H0158","Key Skills - Information Technology - level 4","KeySkl Info Tech Lev 4","24 Jul 2006",""
"B0710253","Certificate in Access to Retail Work (Level 1)","Cert in Acc to Retail Wrk (Lev 1)","27 Jul 2006",""
"B0710254","Certificate in Introducing Retail","Cert in Introducing Retail","27 Jul 2006",""
"B0710257","Principal Learning in Hair and Beauty Studies (Level 1) (14-19 Diploma)","Principal Lrn in Hair & Beauty Stud (Lev 1) (14-19 Dip)","24 Sep 2009",""
"B0710258","Principal Learning in Hospitality (Level 1) (14-19 Diploma)","Principal Lrn in Hospitality (Lev 1) (14-19 Dip)","24 Sep 2009",""
"B0710259","Foundation Diploma in Hair and Beauty Studies (14-19 Diploma)","Fnd Dip Hair & Beauty Stud (14-19 Dip)","01 Sep 2010",""
"B0710260","Foundation Diploma in Hospitality (14-19 Diploma)","Fnd Dip Hospitality (14-19 Dip)","01 Sep 2010",""
"B0710261","Foundation Diploma in Retail Business (14-19 Diploma)","Fnd Dip Retail Bus (14-19 Dip)","01 May 2010",""
